competition,compobjid,hometeamid,awayteamid,hometeam,homescore,awayscore,awayteam,date,time
Saudi Pro League,1645,112391,115892,Al Qadsiah,TBD,TBD,Al Najmah,20260522,1800
Saudi Pro League,1645,131735,607,Al Kholood,TBD,TBD,Al Ittihad,20260522,1800
Saudi Pro League,1645,131735,112387,Al Kholood,TBD,TBD,Al Ahli,20260530,1700
Saudi Pro League,1645,607,112391,Al Ittihad,TBD,TBD,Al Qadsiah,20260530,1700
Saudi Pro League,1645,115892,112096,Al Najmah,TBD,TBD,Al Ettifaq,20260530,1700
Saudi Pro League,1645,112883,113057,Al Khaleej,TBD,TBD,Al Fayha,20260530,1700
Saudi Pro League,1645,113217,112139,Damac,TBD,TBD,Al Nassr,20260530,1700
Saudi Pro League,1645,605,111674,Al Hilal,TBD,TBD,Al Shabab,20260530,1700
Saudi Pro League,1645,113222,112393,Al Hazem,TBD,TBD,Al Taawoun,20260530,1700
Saudi Pro League,1645,113037,112390,Al Riyadh,TBD,TBD,Al Fateh,20260530,1700
Saudi Pro League,1645,113060,131798,Al Okhdood,TBD,TBD,Neom,20260530,1700
